study_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	experiment_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	sample_alias	sample_title
PRJEB5348	ERR458503	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1696568	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:241-4	91725604	3010b4a508cbed1eeb02fcbba6d4e879	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458503/ERR458503.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458503/120903_0219_D0PT7ACXX_4_SA-PE-096.sanfastq.gz	mu_sample4	great RNA experiment data
PRJEB5348	ERR458504	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1464291	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-5	79597139	907b826f18fbab194d171250f771635f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458504/ERR458504.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458504/120903_0219_D0PT7ACXX_5_SA-PE-096.sanfastq.gz	mu_sample5	great RNA experiment data
PRJEB5348	ERR458505	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1466724	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-6	79923297	457556802254412b012571dbdb36f204	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458505/ERR458505.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458505/120903_0219_D0PT7ACXX_6_SA-PE-096.sanfastq.gz	mu_sample6	great RNA experiment data
PRJEB5348	ERR458506	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1884556	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-7	102001916	f9f5534452ba3daa87b09175761f681b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458506/ERR458506.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458506/120903_0219_D0PT7ACXX_7_SA-PE-096.sanfastq.gz	mu_sample7	great RNA experiment data
PRJEB5348	ERR458507	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1594160	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-8	86382961	93bca10ae3d79e901c3a021890212eb5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458507/ERR458507.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458507/120903_0219_D0PT7ACXX_1_SA-PE-021.sanfastq.gz	mu_sample8	great RNA experiment data
PRJEB5348	ERR458508	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1572971	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-9	85094656	3fecd9d83d18394ea601966a8012dad5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458508/ERR458508.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458508/120903_0219_D0PT7ACXX_2_SA-PE-021.sanfastq.gz	mu_sample9	great RNA experiment data
PRJEB5348	ERR458509	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1553706	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-10	84363958	7c8ff91cf614940c17e999a407fe8162	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458509/ERR458509.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458509/120903_0219_D0PT7ACXX_3_SA-PE-021.sanfastq.gz	mu_sample10	great RNA experiment data
PRJEB5348	ERR458510	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1425660	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-11	77140299	7d7ed47aeebb7af6ad57133e60f3bbb4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458510/ERR458510.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458510/120903_0219_D0PT7ACXX_4_SA-PE-021.sanfastq.gz	mu_sample11	great RNA experiment data
PRJEB5348	ERR458511	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1228868	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-12	66821799	0e4bb9fcee9c074296be06d33c469f79	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458511/ERR458511.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458511/120903_0219_D0PT7ACXX_5_SA-PE-021.sanfastq.gz	mu_sample12	great RNA experiment data
PRJEB5348	ERR458512	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1231409	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-13	67085475	d59fbb858ec4041bd8fc3a31b8bc32e4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458512/ERR458512.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458512/120903_0219_D0PT7ACXX_6_SA-PE-021.sanfastq.gz	mu_sample13	great RNA experiment data
PRJEB5348	ERR458513	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1594769	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-14	86273315	77e5c3e895a7897af0f778af0069cbc1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458513/ERR458513.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458513/120903_0219_D0PT7ACXX_7_SA-PE-021.sanfastq.gz	mu_sample14	great RNA experiment data
PRJEB5348	ERR458514	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1594695	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-15	86462515	48fa134b6319a57f9442c37e7df5c83b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458514/ERR458514.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458514/120903_0219_D0PT7ACXX_1_SA-PE-028.sanfastq.gz	mu_sample15	great RNA experiment data
PRJEB5348	ERR458515	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1579932	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-16	85522716	3975ff9e542d2d5d5a32de4438e29224	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458515/ERR458515.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458515/120903_0219_D0PT7ACXX_2_SA-PE-028.sanfastq.gz	mu_sample16	great RNA experiment data
PRJEB5348	ERR458516	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1570161	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-17	85261837	5667027750a5b781ab0fc3d0b0005ce7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458516/ERR458516.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458516/120903_0219_D0PT7ACXX_3_SA-PE-028.sanfastq.gz	mu_sample17	great RNA experiment data
PRJEB5348	ERR458517	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1427255	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:242-18	77203656	334cca8fef31d94d231b6199637aaa5c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458517/ERR458517.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458517/120903_0219_D0PT7ACXX_4_SA-PE-028.sanfastq.gz	mu_sample18	great RNA experiment data
PRJEB5348	ERR458518	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1242742	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-19	67597107	ab643286e521c35d8f162b0088b71afb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458518/ERR458518.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458518/120903_0219_D0PT7ACXX_5_SA-PE-028.sanfastq.gz	mu_sample19	great RNA experiment data
PRJEB5348	ERR458519	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1247074	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-20	67976554	8e200933bc75891c8b045c4d4e6ae12b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458519/ERR458519.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458519/120903_0219_D0PT7ACXX_6_SA-PE-028.sanfastq.gz	mu_sample20	great RNA experiment data
PRJEB5348	ERR458520	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1605532	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-21	86889549	d28ec93f843e8dfe3343ad738f1f99d1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458520/ERR458520.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458520/120903_0219_D0PT7ACXX_7_SA-PE-028.sanfastq.gz	mu_sample21	great RNA experiment data
PRJEB5348	ERR458521	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1977253	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-22	106992945	98a9d3368d2d79839297385e5c6066a7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458521/ERR458521.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458521/120903_0219_D0PT7ACXX_1_SA-PE-011.sanfastq.gz	mu_sample22	great RNA experiment data
PRJEB5348	ERR458522	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1954694	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-23	105626023	7ffb7106f2541404cc2014058dcd2924	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458522/ERR458522.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458522/120903_0219_D0PT7ACXX_2_SA-PE-011.sanfastq.gz	mu_sample23	great RNA experiment data
PRJEB5348	ERR458523	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1932932	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-24	104761782	3d1bce3e6b14cee0f8d4fc29b2e1ac16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458523/ERR458523.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458523/120903_0219_D0PT7ACXX_3_SA-PE-011.sanfastq.gz	mu_sample24	great RNA experiment data
PRJEB5348	ERR458524	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1781423	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-25	96145732	e95d5189a0b46c75fd7bd50df171f356	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458524/ERR458524.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458524/120903_0219_D0PT7ACXX_4_SA-PE-011.sanfastq.gz	mu_sample25	great RNA experiment data
PRJEB5348	ERR458525	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1543642	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-26	83755903	2d0b0aad9be01146fd0c81b626637ad6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458525/ERR458525.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458525/120903_0219_D0PT7ACXX_5_SA-PE-011.sanfastq.gz	mu_sample26	great RNA experiment data
PRJEB5348	ERR458526	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1545670	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-27	84012473	9d45ab773a58c797a45d0b1b10725a59	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458526/ERR458526.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458526/120903_0219_D0PT7ACXX_6_SA-PE-011.sanfastq.gz	mu_sample27	great RNA experiment data
PRJEB5348	ERR458527	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1992116	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-28	107574619	2aa33b414e29cb5b27b3982378b98d27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458527/ERR458527.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458527/120903_0219_D0PT7ACXX_7_SA-PE-011.sanfastq.gz	mu_sample28	great RNA experiment data
PRJEB5348	ERR458528	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1371825	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-29	74704461	e4bf39d6576d247f8307a57b495b2dee	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458528/ERR458528.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458528/120903_0219_D0PT7ACXX_1_SA-PE-082.sanfastq.gz	mu_sample29	great RNA experiment data
PRJEB5348	ERR458529	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1364758	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-30	74177475	859e79941c594b2e51312662659f0b3e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458529/ERR458529.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458529/120903_0219_D0PT7ACXX_2_SA-PE-082.sanfastq.gz	mu_sample30	great RNA experiment data
PRJEB5348	ERR458530	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1355617	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-31	73923138	d7691b049ccb88829773e6940fed737d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458530/ERR458530.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458530/120903_0219_D0PT7ACXX_3_SA-PE-082.sanfastq.gz	mu_sample31	great RNA experiment data
PRJEB5348	ERR458531	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1237072	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:243-32	67205226	5b5cbae14954d2486127c73d767a03f9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458531/ERR458531.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458531/120903_0219_D0PT7ACXX_4_SA-PE-082.sanfastq.gz	mu_sample32	great RNA experiment data
PRJEB5348	ERR458532	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1072364	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-33	58577320	d4b7df8802ce797f97979fa0cd63842e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458532/ERR458532.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458532/120903_0219_D0PT7ACXX_5_SA-PE-082.sanfastq.gz	mu_sample33	great RNA experiment data
PRJEB5348	ERR458533	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1075422	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-34	58850922	1e5b07526c35d74aa68b417d35b8aa60	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458533/ERR458533.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458533/120903_0219_D0PT7ACXX_6_SA-PE-082.sanfastq.gz	mu_sample34	great RNA experiment data
PRJEB5348	ERR458534	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1382775	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-35	75156933	0a89c847ad87b2709a88274871c28315	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458534/ERR458534.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458534/120903_0219_D0PT7ACXX_7_SA-PE-082.sanfastq.gz	mu_sample35	great RNA experiment data
PRJEB5348	ERR458535	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1587957	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-36	86098104	2a66d4094d31b213a7283cf5cfb27e8a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458535/ERR458535.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458535/120903_0219_D0PT7ACXX_1_SA-PE-080.sanfastq.gz	mu_sample36	great RNA experiment data
PRJEB5348	ERR458536	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1575577	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-37	85259744	b3c250e051cd9a3ca9824955beb9d87a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458536/ERR458536.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458536/120903_0219_D0PT7ACXX_2_SA-PE-080.sanfastq.gz	mu_sample37	great RNA experiment data
PRJEB5348	ERR458537	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1566742	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-38	85073125	4e02c139f24aa07a7f6cd2304313b2f5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458537/ERR458537.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458537/120903_0219_D0PT7ACXX_3_SA-PE-080.sanfastq.gz	mu_sample38	great RNA experiment data
PRJEB5348	ERR458538	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1426370	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-39	77151456	862aa9eff67ca5108569ccb448d71205	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458538/ERR458538.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458538/120903_0219_D0PT7ACXX_4_SA-PE-080.sanfastq.gz	mu_sample39	great RNA experiment data
PRJEB5348	ERR458539	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1236710	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-40	67265067	7780c560111327c4a33a999e36f34553	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458539/ERR458539.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458539/120903_0219_D0PT7ACXX_5_SA-PE-080.sanfastq.gz	mu_sample40	great RNA experiment data
PRJEB5348	ERR458540	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1234949	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-41	67320662	ab259a5b6f5d9ac5f7ad62367bc0fd36	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458540/ERR458540.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458540/120903_0219_D0PT7ACXX_6_SA-PE-080.sanfastq.gz	mu_sample41	great RNA experiment data
PRJEB5348	ERR458541	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1589164	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-42	86033364	e8acc53739bb3fb9adb7508e1ab081b5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458541/ERR458541.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458541/120903_0219_D0PT7ACXX_7_SA-PE-080.sanfastq.gz	mu_sample42	great RNA experiment data
PRJEB5348	ERR458542	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	2347013	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-43	127313862	01e41d88d36ed2f3446414d82227a065	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458542/ERR458542.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458542/120903_0219_D0PT7ACXX_1_SA-PE-026.sanfastq.gz	mu_sample43	great RNA experiment data
PRJEB5348	ERR458543	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	2324721	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-44	125914529	fca0ff526880f030420a0f57d96e554f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458543/ERR458543.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458543/120903_0219_D0PT7ACXX_2_SA-PE-026.sanfastq.gz	mu_sample44	great RNA experiment data
PRJEB5348	ERR458544	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	2302461	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-45	125116606	4fb42c5f72ce2eed4fa6e2eef88ed3b7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458544/ERR458544.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458544/120903_0219_D0PT7ACXX_3_SA-PE-026.sanfastq.gz	mu_sample45	great RNA experiment data
PRJEB5348	ERR458545	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	2100173	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:244-46	113662437	f49eb1080fae6446b6aafb4582b6d64c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458545/ERR458545.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458545/120903_0219_D0PT7ACXX_4_SA-PE-026.sanfastq.gz	mu_sample46	great RNA experiment data
PRJEB5348	ERR458546	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1824305	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:245-47	99297648	b9f9c19271a3cf257ee142269ba8ad67	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458546/ERR458546.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458546/120903_0219_D0PT7ACXX_5_SA-PE-026.sanfastq.gz	mu_sample47	great RNA experiment data
PRJEB5348	ERR458547	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1827916	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:245-48	99678221	ae432780dc249aeaf0faac4020c74d39	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458547/ERR458547.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458547/120903_0219_D0PT7ACXX_6_SA-PE-026.sanfastq.gz	mu_sample48	great RNA experiment data
