tracking_id,gene_short_name,tss_id,locus
XLOC_000033,CG2807,TSS69,2L:568339-572907
XLOC_000034,cold,TSS70;TSS71,2L:574290-576896
XLOC_000035,Pph13,TSS72,2L:577485-579549
XLOC_000036,CG13689,TSS73;TSS74,2L:602599-604444
XLOC_000037,CR43648,TSS75,2L:606040-606571
XLOC_000038,-,TSS76,2L:616761-618483
XLOC_000039,lectin-21Ca,TSS77,2L:624616-625556
XLOC_000040,CG2839,TSS78,2L:625662-628200
XLOC_000041,Hsp60B,TSS79,2L:728411-730564
XLOC_000042,GABA-B-R3,TSS80;TSS81;TSS82,2L:750608-762142
XLOC_000043,CG12506,TSS83,2L:773546-774017
XLOC_000044,CG13946,TSS84,2L:776535-776892
XLOC_000045,CG13947,TSS85,2L:779172-779655
XLOC_000046,Gr21a,TSS86;TSS87,2L:780481-782885
XLOC_000047,CG3544,TSS88,2L:784335-790798
XLOC_000048,KH1;Nnf1b,TSS89;TSS90,2L:810564-815966
XLOC_000049,Pex12,TSS91,2L:815992-821214
XLOC_000050,Clp,TSS92;TSS93,2L:815992-821214
XLOC_000051,CG3662,TSS94,2L:821421-833299
XLOC_000052,dock,TSS95;TSS96,2L:821421-833299
XLOC_000053,kraken,TSS97,2L:833575-854539
XLOC_000054,CG13949,TSS98,2L:855336-856236
XLOC_000055,mir-375,TSS99,2L:857541-857632
XLOC_000056,CG13950,TSS100,2L:860308-861806
XLOC_000057,PNUTS,TSS101;TSS102,2L:870464-877089
XLOC_000058,ninaA,TSS103,2L:877301-885141
XLOC_000059,Lsp1beta,TSS104,2L:898643-901316
XLOC_000060,GluRIIC,TSS105,2L:914085-917805
XLOC_000061,CG4341,TSS106,2L:922792-958098
XLOC_000062,CG4415,TSS107,2L:1008377-1048053
XLOC_000063,Atg4;ast,TSS108;TSS109;TSS110,2L:1049799-1102504
XLOC_000064,CG14339,TSS111,2L:1108539-1112694
XLOC_000065,CG14340,TSS112,2L:1112940-1114138
XLOC_000066,CG4552,TSS113,2L:1129315-1134098
XLOC_000067,CG4577,TSS114,2L:1134692-1141156
XLOC_000068,MFS3,TSS115,2L:1143200-1147395
XLOC_000069,CG4749,TSS116,2L:1147821-1150677
XLOC_000070,CG4764,TSS117,2L:1150765-1160223
XLOC_000071,Tango14,TSS118;TSS119,2L:1150765-1160223
XLOC_000072,CG14341;CG4785,TSS120;TSS121,2L:1164436-1170079
XLOC_000073,CG31922,TSS122,2L:1170180-1172805
XLOC_000074,CG4887;CG4896,TSS123;TSS124;TSS125,2L:1172876-1196810
XLOC_000075,CG5001;Tgt,TSS126;TSS127;TSS128;TSS129,2L:1172876-1196810
XLOC_000076,CG43348,TSS130,2L:1199411-1199709
XLOC_000077,CG43349,TSS131,2L:1200204-1200580
XLOC_000078,CG5011,TSS132,2L:1200777-1201220
XLOC_000079,CG14342,TSS133,2L:1204240-1205250
XLOC_000080,CG42329,TSS134,2L:1219317-1229802
XLOC_000081,CG5397,TSS135;TSS136,2L:1239776-1246144
XLOC_000082,robo3,TSS137,2L:1256425-1294687
XLOC_000083,a5,TSS138,2L:1329160-1329904
XLOC_000084,CG5440,TSS139,2L:1334244-1334932
XLOC_000085,Cdlc2,TSS140,2L:1344479-1345144
XLOC_000086,CG14346,TSS141,2L:1368088-1369050
XLOC_000087,CG43401,TSS142,2L:1428509-1428981
XLOC_000088,snRNA:U3:22A,TSS143,2L:1432710-1432921
XLOC_000089,CG43402,TSS144,2L:1442725-1443316
XLOC_000090,CG31928,TSS145,2L:1492294-1493645
XLOC_000091,CG33128,TSS146,2L:1494089-1495456
XLOC_000092,CG31926,TSS147,2L:1495746-1496979
XLOC_000093,CG31661,TSS148,2L:1497253-1498435
XLOC_000094,Or22a,TSS149,2L:1520612-1522151
XLOC_000095,Or22b,TSS150,2L:1522690-1524259
XLOC_000096,haf,TSS151,2L:1555129-1611125
XLOC_000097,CG14352,TSS152,2L:1611420-1612576
XLOC_000098,chinmo;cpb,TSS153;TSS154;TSS155;TSS156,2L:1651257-1710421
XLOC_000099,mRpL48,TSS157,2L:1710461-1715853
XLOC_000100,Rrp40,TSS158,2L:1724767-1729636
XLOC_000101,CG31937,TSS159,2L:1729886-1731070
XLOC_000102,CG17646,TSS160;TSS161;TSS162,2L:1732525-1752116
XLOC_000103,CG17648,TSS163,2L:1752348-1752851
XLOC_000104,Gr22e,TSS164,2L:1784061-1785286
XLOC_000105,wry,TSS165,2L:1836629-1858550
XLOC_000106,CG7295,TSS166,2L:1858608-1880644
XLOC_000107,CG7337,TSS167;TSS168;TSS169;TSS170,2L:1884502-1944303
XLOC_000108,tRNA:CR31942,TSS171,2L:1950238-1970514
XLOC_000109,Der-1,TSS172,2L:1974125-1975413
XLOC_000110,CG15362,TSS173,2L:1981175-1982099
XLOC_000111,CG7289,TSS174,2L:1982219-1987788
XLOC_000112,Npc2a,TSS175,2L:1988263-1988940
XLOC_000113,CR42874,TSS176,2L:1989449-1990764
XLOC_000114,CR43464,TSS177,2L:1997101-2006307
XLOC_000115,Nplp4,TSS178,2L:2008459-2008966
XLOC_000116,tRNA:CR31943,TSS179,2L:2009154-2009226
XLOC_000117,tRNA:CR31944,TSS180,2L:2009537-2009609
XLOC_000118,CG4238,TSS181;TSS182;TSS183;TSS184;TSS185,2L:2009705-2030788
XLOC_000119,tRNA:G3:22BCb,TSS186,2L:2031691-2031762
XLOC_000120,Su(dx),TSS187;TSS188;TSS189,2L:2037801-2044373
XLOC_000121,Kebab,TSS190,2L:2045499-2050225
XLOC_000122,-,TSS191,2L:2052362-2053448
XLOC_000123,Or22c,TSS192,2L:2054588-2057967
XLOC_000124,CG12674,TSS193,2L:2058858-2109878
XLOC_000125,GlyP,TSS194,2L:2130814-2137296
XLOC_000126,AIF;CG15382;CG7261,TSS195;TSS196;TSS197;TSS198,2L:2145496-2178749
XLOC_000127,CG43751,TSS199,2L:2183888-2185495
XLOC_000128,tRNA:CR31946,TSS200,2L:2187006-2187079
XLOC_000129,CG34174,TSS201,2L:2206524-2236853
XLOC_000130,mio;papi,TSS202;TSS203;TSS204;TSS205;TSS206,2L:2206524-2236853
XLOC_000131,l(2)s5379,TSS207;TSS208;TSS209,2L:2206524-2236853
XLOC_000132,CG4267,TSS210,2L:2242376-2244415
XLOC_000133,CG31686;CR42859,TSS211;TSS212,2L:2244636-2246207
XLOC_000134,CG17234,TSS213,2L:2253078-2253834
XLOC_000135,CG4270,TSS214,2L:2263463-2265321
XLOC_000136,CG4271,TSS215,2L:2285162-2286873
XLOC_000137,CG31949,TSS216,2L:2300102-2300888
XLOC_000138,CG16995,TSS217,2L:2307947-2358944
XLOC_000139,eys,TSS218,2L:2307947-2358944
XLOC_000140,CG9967,TSS219,2L:2307947-2358944
XLOC_000141,CG9967,TSS220,2L:2307947-2358944
XLOC_000142,Axud1,TSS221;TSS222;TSS223;TSS224;TSS225,2L:2359195-2371524
XLOC_000143,CG15390;CG9866,TSS226;TSS227;TSS228;TSS229;TSS230,2L:2372454-2380537
XLOC_000144,Eogt,TSS231,2L:2381096-2383073
XLOC_000145,CG9870,TSS232,2L:2383201-2384747
XLOC_000146,VGlut,TSS233;TSS234;TSS235,2L:2391659-2415294
XLOC_000147,CG9886,TSS236,2L:2420751-2425152
XLOC_000148,dpp,TSS237;TSS238;TSS239;TSS240;TSS241;TSS242,2L:2427060-2460044
XLOC_000149,tRNA:Y1:22Fa,TSS243,2L:2462592-2462686
XLOC_000150,-,TSS244;TSS245;TSS246,2L:2483136-2485804
XLOC_000151,oaf,TSS247,2L:2490198-2498846
XLOC_000152,CG9883,TSS248,2L:2577670-2579180
XLOC_000153,p16-ARC,TSS249,2L:2580290-2581114
XLOC_000154,CG15394,TSS250,2L:2588853-2592775
XLOC_000155,CG15395,TSS251,2L:2610145-2611283
XLOC_000156,CG43403,TSS252,2L:2620186-2620782
XLOC_000157,CR43852,TSS253,2L:2646029-2646281
XLOC_000158,CG43851,TSS254,2L:2647885-2652369
XLOC_000159,Prosbeta4R1,TSS255,2L:2653045-2653926
XLOC_000160,Or23a;Prosbeta4R2,TSS256;TSS257,2L:2654048-2657102
XLOC_000161,CG9879,TSS258,2L:2665061-2666265
XLOC_000162,Gr23a,TSS259;TSS260,2L:2669822-2672159
XLOC_000163,CG31690,TSS261;TSS262,2L:2674824-2719431
XLOC_000164,CG31689,TSS263;TSS264;TSS265,2L:2730105-2739833
XLOC_000165,mir-4914,TSS266,2L:2730105-2739833
XLOC_000166,Hrs,TSS267;TSS268,2L:2739985-2745049
XLOC_000167,Cwc25,TSS269,2L:2745101-2759846
XLOC_000168,CG9894,TSS270;TSS271;TSS272;TSS273,2L:2745101-2759846
XLOC_000169,Trn-SR,TSS274,2L:2759914-2763610
XLOC_000170,aph-1,TSS275,2L:2766234-2767154
XLOC_000171,Taf10,TSS276,2L:2767280-2771776
XLOC_000172,CG2862,TSS277;TSS278;TSS279,2L:2767280-2771776
XLOC_000173,CR43821,TSS280,2L:2779266-2799979
XLOC_000174,CG2964;daw,TSS281;TSS282;TSS283;TSS284;TSS285;TSS286,2L:2805071-2830238
XLOC_000175,Cpr23B,TSS287,2L:2838413-2839547
XLOC_000176,CG2975,TSS288,2L:2840090-2844513
XLOC_000177,CG2983,TSS289,2L:2847631-2855749
XLOC_000178,CG2991;RpS21,TSS290;TSS291;TSS292;TSS293,2L:2855894-2868553
XLOC_000179,CG8813,TSS294,2L:2868626-2874518
XLOC_000180,CG8814,TSS295,2L:2874865-2878232
XLOC_000181,CG31950,TSS296,2L:2878343-2879001
XLOC_000182,betaggt-II,TSS297,2L:2879111-2885850
XLOC_000183,lilli,TSS298;TSS299;TSS300;TSS301,2L:2885913-2954406
XLOC_000184,Rbp9,TSS302;TSS303;TSS304,2L:2954761-2969659
XLOC_000185,gammaTub23C,TSS305,2L:2972891-2976859
XLOC_000186,CG3165,TSS306,2L:2977131-2978500
XLOC_000187,Bem46,TSS307,2L:2988115-2992759
XLOC_000188,CG3558,TSS308;TSS309,2L:2992804-2998824
XLOC_000189,CG17265,TSS310,2L:2999285-3016069
XLOC_000190,CG17264,TSS311;TSS312,2L:3016590-3023141
XLOC_000191,CG3542,TSS313,2L:3023234-3026439
XLOC_000192,CG17219;GABPI,TSS314;TSS315,2L:3029236-3035348
XLOC_000193,CG17260,TSS316,2L:3037410-3038793
XLOC_000194,CG17221,TSS317;TSS318,2L:3039975-3041626
XLOC_000195,CG17261,TSS319,2L:3042918-3043593
XLOC_000196,v(2)k05816,TSS320,2L:3043972-3055601
XLOC_000197,CR43708,TSS321,2L:3043972-3055601
XLOC_000198,snRNA:U5:23D,TSS322,2L:3043972-3055601
XLOC_000199,CG3523,TSS323;TSS324;TSS325,2L:3056614-3144613
XLOC_000200,PpD6,TSS326,2L:3056614-3144613
XLOC_000201,CG15403,TSS327,2L:3056614-3144613
XLOC_000202,gkt,TSS328;TSS329,2L:3159949-3162441
XLOC_000203,CR31953;Hydr2,TSS330;TSS331,2L:3162514-3169462
XLOC_000204,tRNA:S7:23Eb,TSS332,2L:3169576-3172810
XLOC_000205,CG15404,TSS333,2L:3173988-3174442
XLOC_000206,CG3347,TSS334,2L:3269436-3271806
XLOC_000207,CG3277,TSS335,2L:3294822-3319920
XLOC_000208,CG15406,TSS336,2L:3294822-3319920
XLOC_000209,CG8837,TSS337,2L:3320254-3323141
XLOC_000210,CG33281,TSS338,2L:3324233-3326637
XLOC_000211,CG33282,TSS339,2L:3327902-3329792
XLOC_000212,CG15408;CG3285,TSS340;TSS341,2L:3330929-3334790
XLOC_000213,CG8838,TSS342,2L:3357645-3373427
XLOC_000214,Ptpa,TSS343,2L:3377001-3378590
XLOC_000215,CG34175,TSS344,2L:3398022-3398684
XLOC_000216,CG8840,TSS345,2L:3404459-3426642
XLOC_000217,CG31952,TSS346,2L:3404459-3426642
XLOC_000218,CG2772,TSS347,2L:3445996-3447591
XLOC_000219,CG12795;Snx1,TSS348;TSS349;TSS350,2L:3449512-3457058
XLOC_000220,sec5,TSS351,2L:3457328-3467326
XLOC_000221,Pdsw,TSS352,2L:3457328-3467326
XLOC_000222,CG31776,TSS353,2L:3470181-3472365
XLOC_000223,pgant4,TSS354;TSS355,2L:3472602-3475338
XLOC_000224,CR43928,TSS356,2L:3476850-3477648
XLOC_000225,Thor,TSS357,2L:3478433-3479612
XLOC_000226,CG17593,TSS358,2L:3514871-3517264
XLOC_000227,CG8851,TSS359;TSS360,2L:3519676-3524544
XLOC_000228,CG8852,TSS361,2L:3525130-3530317
XLOC_000229,Che-13,TSS362,2L:3530788-3532678
XLOC_000230,drm,TSS363;TSS364;TSS365;TSS366,2L:3538290-3548451
XLOC_000231,CR43822,TSS367,2L:3575349-3575806
XLOC_000232,CG43815,TSS368,2L:3576209-3576623
XLOC_000233,Dot,TSS369,2L:3619190-3656951
XLOC_000234,CG34340,TSS370,2L:3662744-3691737
XLOC_000235,CG42464,TSS371,2L:3699463-3699826
XLOC_000236,CG42465,TSS372,2L:3700194-3700658
XLOC_000237,Sfp24C1,TSS373,2L:3700673-3701092
XLOC_000238,CG42467,TSS374,2L:3701306-3701699
XLOC_000239,CG43145,TSS375,2L:3701847-3702131
XLOC_000240,CG2816,TSS376,2L:3703658-3711823
XLOC_000241,CG2818,TSS377;TSS378;TSS379,2L:3712153-3717773
XLOC_000242,Shaw,TSS380;TSS381,2L:3718184-3729145
XLOC_000243,CG10019,TSS382;TSS383,2L:3730465-3754360
XLOC_000244,CG43707,TSS384;TSS385;TSS386,2L:3757255-3769235
XLOC_000245,CG43703,TSS387,2L:3757255-3769235
XLOC_000246,mir-1004,TSS388,2L:3757255-3769235
XLOC_000247,bowl,TSS389;TSS390;TSS391;TSS392;TSS393,2L:3771197-3784121
XLOC_000248,CG31960,TSS394,2L:3784946-3785622
XLOC_000249,CG31958,TSS395,2L:3785818-3786292
XLOC_000250,CG3921,TSS396;TSS397,2L:3787167-3802738
XLOC_000251,l(2)k16918,TSS398;TSS399;TSS400,2L:3803168-3813423
XLOC_000252,slp1,TSS401,2L:3825679-3827137
XLOC_000253,slp2,TSS402,2L:3836841-3839201
XLOC_000254,CG3964;Cep97,TSS403;TSS404;TSS405;TSS406;TSS407,2L:3860041-3902860
XLOC_000255,CG43797,TSS408,2L:4000017-4000806
XLOC_000256,CG34176,TSS409,2L:4004079-4004480
XLOC_000257,CG15422,TSS410,2L:4004983-4005670
XLOC_000258,CG15423,TSS411,2L:4006040-4006606
XLOC_000259,CG43773,TSS412,2L:4007689-4007984
XLOC_000260,CG43774,TSS413,2L:4008652-4009090
XLOC_000261,ed,TSS414;TSS415,2L:4031148-4115942
XLOC_000262,snoRNA:Me28S-C437,TSS416,2L:4031148-4115942
XLOC_000263,Sr-CIII,TSS417,2L:4120362-4121442
XLOC_000264,Sr-CI,TSS418,2L:4121623-4124179
XLOC_000265,CG2955,TSS419,2L:4149278-4151203
XLOC_000266,lectin-24Db,TSS420,2L:4188122-4189285
XLOC_000267,RpL40,TSS421,2L:4227641-4228563
XLOC_000268,CG15425,TSS422,2L:4257571-4258425
XLOC_000269,tutl,TSS423;TSS424,2L:4283147-4324020
XLOC_000270,CG16857,TSS425,2L:4324572-4331837
XLOC_000271,Atet,TSS426;TSS427,2L:4333925-4345776
XLOC_000272,mir-1005,TSS428,2L:4333925-4345776
XLOC_000273,CG15429,TSS429,2L:4352974-4354030
XLOC_000274,Traf4,TSS430;TSS431;TSS432;TSS433,2L:4361944-4382735
XLOC_000275,Tps1,TSS434,2L:4388326-4400536
XLOC_000276,l(2)k05819,TSS435;TSS436;TSS437,2L:4388326-4400536
XLOC_000277,CG33003,TSS438,2L:4400952-4403142
XLOC_000278,Dim1,TSS439,2L:4403242-4441282
XLOC_000279,CG43055,TSS440,2L:4403242-4441282
XLOC_000280,CG34178,TSS441,2L:4403242-4441282
XLOC_000281,CG43056,TSS442,2L:4403242-4441282
XLOC_000282,CG15432,TSS443;TSS444,2L:4442319-4444680
XLOC_000283,Elp3,TSS445,2L:4444726-4448637
XLOC_000284,CG15434,TSS446,2L:4454663-4456837
XLOC_000285,CG15435,TSS447,2L:4459834-4462994
XLOC_000286,CG15436;CG17840,TSS448;TSS449;TSS450,2L:4463138-4477024
XLOC_000287,BG642163,TSS451,2L:4641295-4642747
XLOC_000288,CG15635,TSS452,2L:4642971-4646562
XLOC_000289,CG43798,TSS453,2L:4647050-4647920
XLOC_000290,CG3355,TSS454,2L:4651402-4652892
XLOC_000291,CG11929,TSS455,2L:4682676-4687235
XLOC_000292,CG15634,TSS456,2L:4687512-4688956
XLOC_000293,CG34351,TSS457,2L:4694720-4722465
XLOC_000294,CG42523,TSS458,2L:4734591-4794040
XLOC_000295,CG3294,TSS459;TSS460,2L:4794548-4796581
XLOC_000296,CG15629,TSS461,2L:4813008-4818245
XLOC_000297,CG15628,TSS462,2L:4821680-4830737
XLOC_000298,CG12194,TSS463;TSS464,2L:4838346-4847323
XLOC_000299,CG11927,TSS465,2L:4847765-4850419
XLOC_000300,CG11926,TSS466;TSS467,2L:4850442-4852643
XLOC_000301,pog,TSS468,2L:4852864-4875233
XLOC_000302,CG3008,TSS469,2L:4876870-4885669
XLOC_000303,CG15625,TSS470,2L:4889994-4891378
XLOC_000304,CG3036,TSS471,2L:4892114-4906761
XLOC_000305,Sgs1,TSS472,2L:4937408-4941424
XLOC_000306,CG14044,TSS473,2L:4942747-4945343
XLOC_000307,betaggt-I,TSS474,2L:4945597-4949754
XLOC_000308,Marcal1,TSS475,2L:4955508-4958292
XLOC_000309,CG34124,TSS476,2L:4958410-4965430
XLOC_000310,CG34125,TSS477,2L:4965672-4967775
XLOC_000311,CG3756,TSS478,2L:4969003-4977023
XLOC_000312,CG14043,TSS479,2L:4969003-4977023
XLOC_000313,mRpL28,TSS480,2L:4969003-4977023
XLOC_000314,CG3792,TSS481,2L:4977311-4981592
XLOC_000315,CG34126,TSS482,2L:4981613-5009735
XLOC_000316,CG3887,TSS483;TSS484;TSS485,2L:5009930-5012134
XLOC_000317,Cg25C,TSS486,2L:5029608-5037328
XLOC_000318,CG14042,TSS487;TSS488,2L:5038052-5054575
XLOC_000319,CG31919;CG33995,TSS489;TSS490;TSS491,2L:5038052-5054575
XLOC_000320,CG14040,TSS492,2L:5038052-5054575
XLOC_000321,His3.3A,TSS493,2L:5055057-5070750
XLOC_000322,mir-2495;qtc,TSS494;TSS495;TSS496;TSS497;TSS498,2L:5055057-5070750
XLOC_000323,RpL37A,TSS499,2L:5070956-5072055
XLOC_000324,CG5828,TSS500,2L:5094011-5095725
XLOC_000325,CG4230,TSS501;TSS502,2L:5096226-5209506
XLOC_000326,Cyp28d2;Msp-300;snmRNA:128;snmRNA:158;snmRNA:765,TSS503;TSS504;TSS505;TSS506;TSS507;TSS508;TSS509;TSS510;TSS511;TSS512,2L:5096226-5209506
XLOC_000327,snoRNA:Psi28S-2263,TSS513,2L:5096226-5209506
XLOC_000328,snoRNA:Psi18S-525k,TSS514,2L:5096226-5209506
XLOC_000329,Cyp28d1,TSS515,2L:5210460-5214730
XLOC_000330,TpnC25D,TSS516,2L:5218254-5271353
XLOC_000331,tRNA:CR31971,TSS517,2L:5218254-5271353
XLOC_000332,CR14033,TSS518,2L:5218254-5271353
XLOC_000333,Cyp4ac1,TSS519,2L:5218254-5271353
XLOC_000334,Cyp4ac2,TSS520,2L:5218254-5271353
XLOC_000335,Cyp4ac3,TSS521,2L:5218254-5271353
XLOC_000336,Bub1,TSS522,2L:5279050-5283002
XLOC_000337,vri,TSS523;TSS524;TSS525,2L:5287535-5314885
XLOC_000338,cype,TSS526,2L:5327240-5327969
XLOC_000339,TotM,TSS527,2L:5329856-5330464
XLOC_000340,nompC,TSS528;TSS529,2L:5339131-5365760
XLOC_000341,H15,TSS530;TSS531,2L:5404341-5416598
XLOC_000342,CR43713,TSS532,2L:5431841-5432626
XLOC_000343,CR43714,TSS533,2L:5432850-5433522
XLOC_000344,mid,TSS534,2L:5461640-5467610
XLOC_000345,CG14020,TSS535,2L:5517618-5519889
XLOC_000346,cl,TSS536,2L:5520134-5523877
XLOC_000347,CG31648;CG6907;Cap-D3,TSS537;TSS538;TSS539;TSS540,2L:5524123-5539196
XLOC_000348,CG31915,TSS541,2L:5524123-5539196
XLOC_000349,Lam;Oscillin,TSS542;TSS543;TSS544;TSS545;TSS546;TSS547,2L:5539325-5550835
XLOC_000350,CG18269,TSS548,2L:5551837-5552756
XLOC_000351,CG14017;GluRIIA,TSS549;TSS550,2L:5553896-5558994
XLOC_000352,GluRIIB,TSS551,2L:5559341-5563502
XLOC_000353,snRNA:U4:25F,TSS552,2L:5565618-5565766
XLOC_000354,CG18266,TSS553,2L:5596832-5598636
XLOC_000355,mir-959,TSS554,2L:5626290-5658553
XLOC_000356,mir-960,TSS555,2L:5626290-5658553
XLOC_000357,mir-961,TSS556,2L:5626290-5658553
XLOC_000358,mir-962,TSS557,2L:5626290-5658553
XLOC_000359,mir-963,TSS558,2L:5626290-5658553
XLOC_000360,mir-964,TSS559,2L:5626290-5658553
XLOC_000361,Hsp60C,TSS560,2L:5662848-5670838
XLOC_000362,CG12511,TSS561,2L:5678637-5679223
XLOC_000363,CG7236,TSS562;TSS563,2L:5708448-5713648
XLOC_000364,CG34011,TSS564,2L:5716818-5718067
XLOC_000365,sip1,TSS565,2L:5721050-5723791
XLOC_000366,CG11030,TSS566,2L:5724655-5762420
XLOC_000367,CG11029,TSS567,2L:5724655-5762420
XLOC_000368,CR31912,TSS568,2L:5766993-5800204
XLOC_000369,CG31913,TSS569,2L:5766993-5800204
XLOC_000370,CG7239,TSS570,2L:5802219-5804030
XLOC_000371,CG11034,TSS571,2L:5805374-5809088
XLOC_000372,CG43307,TSS572,2L:5811573-5811925
XLOC_000373,TrissinR,TSS573,2L:5824793-5856767
XLOC_000374,CG43185,TSS574,2L:5884931-5885457
XLOC_000375,CG9029,TSS575,2L:5886015-5886609
XLOC_000376,bchs,TSS576,2L:5907168-5922781
XLOC_000377,dsf,TSS577,2L:5925204-5939261
XLOC_000378,Gpdh,TSS578;TSS579,2L:5943642-5948984
XLOC_000379,CG9044,TSS580,2L:5949449-5955235
XLOC_000380,Vm26Ab,TSS581,2L:5957003-5957628
XLOC_000381,Ucp4B;Ucp4C,TSS582;TSS583,2L:5968565-5981474
XLOC_000382,eIF-4a,TSS584;TSS585,2L:5981763-5985793
XLOC_000383,ifc,TSS586;TSS587,2L:5986347-5988854
XLOC_000384,Tsp26A,TSS588,2L:6000227-6006827
XLOC_000385,CR43866,TSS589,2L:6000227-6006827
XLOC_000386,CG13996,TSS590;TSS591;TSS592,2L:6019941-6021768
XLOC_000387,CG31643,TSS593,2L:6038160-6045970
XLOC_000388,CG12393,TSS594;TSS595,2L:6046645-6050482
XLOC_000389,CG9135,TSS596,2L:6050828-6053498
XLOC_000390,CG13995,TSS597,2L:6054306-6060169
XLOC_000391,CG34180,TSS598,2L:6060509-6065949
XLOC_000392,CG13994,TSS599,2L:6060509-6065949
XLOC_000393,CG9147,TSS600;TSS601,2L:6066044-6068635
XLOC_000394,CG13993,TSS602,2L:6069078-6070981
XLOC_000395,Kr-h2,TSS603;TSS604,2L:6070989-6073961
XLOC_000396,CR9162,TSS605,2L:6078452-6079736
XLOC_000397,Kr-h1,TSS606;TSS607;TSS608,2L:6081807-6098966
XLOC_000398,stai,TSS609;TSS610;TSS611;TSS612;TSS613;TSS614;TSS615,2L:6099585-6124653
XLOC_000399,CG31642,TSS616,2L:6099585-6124653
XLOC_000400,Arc-p20,TSS617,2L:6125131-6127799
XLOC_000401,CG9222,TSS618,2L:6131022-6132484
XLOC_000402,CG13991,TSS619,2L:6139460-6145011
XLOC_000403,Muc26B,TSS620,2L:6151970-6153701
XLOC_000404,CG13989,TSS621,2L:6160443-6161082
XLOC_000405,CG34380,TSS622;TSS623,2L:6178741-6211120
XLOC_000406,Ugt37b1,TSS624,2L:6225049-6226842
XLOC_000407,Ddr,TSS625;TSS626;TSS627,2L:6253010-6323475
XLOC_000408,CG9486,TSS628,2L:6253010-6323475
XLOC_000409,CR42735,TSS629,2L:6253010-6323475
XLOC_000410,CG13984,TSS630,2L:6253010-6323475
XLOC_000411,Gef26,TSS631,2L:6323766-6332789
XLOC_000412,Cpr,TSS632;TSS633;TSS634;TSS635;TSS636,2L:6332880-6346280
XLOC_000413,ppk14,TSS637,2L:6354955-6356498
XLOC_000414,CG9505,TSS638,2L:6367883-6370195
XLOC_000415,slam,TSS639,2L:6372414-6377287
XLOC_000416,CG9507,TSS640,2L:6377766-6411306
XLOC_000417,CG13982,TSS641,2L:6412314-6423505
XLOC_000418,l(2)k11101,TSS642,2L:6424336-6426373
XLOC_000419,frj,TSS643;TSS644;TSS645,2L:6445069-6465669
XLOC_000420,DLP,TSS646,2L:6477164-6488615
XLOC_000421,epsilonCOP,TSS647,2L:6489091-6490828
XLOC_000422,CG31638;CG9550,TSS648;TSS649;TSS650;TSS651,2L:6491001-6498455
XLOC_000423,CG31637,TSS652,2L:6498641-6526996
XLOC_000424,CG11043;CoVb,TSS653;TSS654;TSS655,2L:6555754-6566587
XLOC_000425,Ent2,TSS656;TSS657,2L:6555754-6566587
XLOC_000426,CG11050,TSS658;TSS659;TSS660,2L:6611022-6617133
XLOC_000427,CG34345,TSS661,2L:6623122-6632407
XLOC_000428,Tango1,TSS662,2L:6649387-6654574
XLOC_000429,CG11070,TSS663,2L:6658506-6662033
XLOC_000430,CG34310,TSS664;TSS665;TSS666,2L:6663967-6676635
XLOC_000431,CG11188,TSS667,2L:6717624-6732766
XLOC_000432,Liprin-alpha,TSS668;TSS669,2L:6717624-6732766
